e_changed_log_length,e_changed_loc_,e_loc_,e_chang_count_,e_bug_count_,m_MaxCyclomatic,m_SumEssential,m_SumCyclomatic,m_CountLineBlank,m_AvgCyclomatic,m_AvgCyclomaticStrict,m_AvgCyclomaticModified,m_SumCyclomaticStrict,m_CountStmtDecl,m_CountLineCodeExe,m_CountLineComment,m_MaxCyclomaticStrict,m_CountLineCode,m_CountStmtExe,m_MaxCyclomaticModified,m_CountLineCodeDecl,m_CountDeclFunction,m_CountLine,m_CountDeclClass,m_CountStmt,m_SumCyclomaticModified,md_MaxCyclomatic,md_SumEssential,md_SumCyclomatic,md_CountLineBlank,md_AvgCyclomatic,md_AvgCyclomaticStrict,md_AvgCyclomaticModified,md_SumCyclomaticStrict,md_CountStmtDecl,md_CountLineCodeExe,md_CountLineComment,md_MaxCyclomaticStrict,md_CountLineCode,md_CountStmtExe,md_MaxCyclomaticModified,md_CountLineCodeDecl,md_CountDeclFunction,md_CountLine,md_CountStmt,md_SumCyclomaticModified,bug
4.955827,1.609438,6.43294,2.944439,2.772589,2.70805,2.890372,3.806662,4.158883,1.609438,1.609438,1.609438,3.871201,4.736198,5.043425,4.770685,2.833213,6.09131,4.882802,2.70805,5.192957,2.484907,6.43294,0.693147,5.501258,3.806662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.044522,1.791759,6.146329,2.639057,2.484907,2.079442,3.367296,3.78419,3.850148,1.098612,1.098612,1.098612,3.871201,4.025352,4.60517,4.94876,2.484907,5.638355,4.51086,2.079442,4.564348,2.995732,6.146329,0.693147,4.983607,3.78419,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,0
5.590987,1.94591,4.644391,2.197225,1.098612,1.098612,1.098612,1.386294,2.079442,0.693147,1.098612,0.693147,1.609438,1.94591,2.197225,4.143135,1.386294,3.555348,1.791759,1.098612,2.944439,1.098612,4.644391,0.693147,2.484907,1.386294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.288267,1.94591,4.60517,1.098612,1.098612,0.693147,1.609438,1.609438,2.484907,0.693147,0.693147,0.693147,1.609438,2.484907,0.0,4.248495,0.693147,2.995732,0.0,0.693147,2.890372,1.609438,4.60517,0.693147,2.484907,1.609438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0
5.288267,2.70805,2.484907,0.693147,0.693147,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.0,0.693147,0.0,1.791759,0.0,1.791759,0.0,0.0,1.386294,0.0,2.484907,0.693147,0.693147,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0
3.828641,3.828641,6.364751,3.367296,2.772589,1.94591,3.295837,4.025352,4.060443,1.098612,1.098612,1.098612,4.143135,3.988984,4.70953,5.181784,2.079442,5.849325,4.521789,1.94591,4.672829,3.295837,6.364751,0.693147,4.976734,4.025352,0.0,1.098612,1.791759,1.609438,0.0,0.0,0.0,1.94591,1.609438,2.397895,2.302585,0.0,3.496508,2.197225,0.0,2.197225,1.098612,3.828641,2.564949,1.791759,1
5.556828,3.135494,6.461468,3.401197,1.609438,2.079442,3.526361,4.094345,4.248495,1.098612,1.098612,1.098612,4.158883,4.488636,4.844187,5.181784,2.197225,5.978886,4.70953,2.079442,4.941642,3.218876,6.463029,0.693147,5.293305,4.094345,0.0,1.098612,1.098612,1.098612,0.0,0.0,0.0,1.098612,1.098612,1.098612,2.564949,0.0,2.197225,1.098612,0.0,1.098612,1.098612,3.135494,1.609438,1.098612,0
5.883322,3.828641,6.849066,2.833213,2.70805,2.079442,3.828641,4.369448,4.60517,1.098612,1.098612,1.098612,4.418841,4.75359,5.111988,5.834811,2.197225,6.222576,4.990433,2.079442,5.123964,3.610918,6.850126,0.693147,5.568345,4.369448,0.0,0.693147,1.386294,1.098612,0.0,0.0,0.0,1.386294,1.609438,2.079442,1.791759,0.0,2.944439,1.791759,0.0,1.386294,0.693147,3.258097,2.302585,1.386294,1
4.941642,1.098612,4.682131,1.098612,0.693147,0.693147,1.609438,1.609438,2.197225,0.693147,0.693147,0.693147,1.609438,0.693147,1.609438,4.369448,0.693147,3.091042,1.609438,0.693147,2.079442,1.609438,4.682131,0.693147,1.791759,1.609438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5.620401,1.098612,4.812184,2.079442,1.098612,0.693147,2.197225,2.197225,2.397895,0.693147,0.693147,0.693147,2.197225,2.302585,0.0,4.564348,0.693147,2.890372,0.0,0.693147,2.772589,2.197225,4.812184,0.693147,2.302585,2.197225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
